"","price_per_sqmt","facing_direction","floor_level","decoration"
"1",38544,"South","low","simple"
"2",33667,"South","first","other"
"3",91429,"South","middle","simple"
"4",102752,"South","high","simple"
"5",98847,"South","high","other"
"6",88422,"North","low","other"
"7",89034,"South","middle","refined"
"8",88525,"South","high","simple"
"9",95259,"South","top","bare"
"10",92620,"South","middle","simple"
"11",96145,"South","middle","other"
"12",94333,"South","high","other"
"13",86351,"South","low","simple"
"14",90431,"South","high","simple"
"15",97972,"South","first","refined"
"16",87638,"South","high","simple"
"17",89000,"South","high","other"
"18",83871,"South","high","refined"
"19",84628,"South","high","refined"
"20",76143,"South","high","refined"
"21",73985,"South","middle","refined"
"22",70719,"South","low","simple"
"23",67425,"South","middle","simple"
"24",62500,"North","top","other"
"25",58303,"South","first","refined"
"26",55711,"South","low","simple"
"27",50000,"South","low","simple"
"28",53381,"South","low","simple"
"29",49676,"South","top","refined"
"30",57444,"South","low","other"
"31",48864,"South","low","simple"
"32",50417,"North","low","refined"
"33",53291,"South","middle","refined"
"34",52925,"South","low","refined"
"35",49089,"East/West","low","other"
"36",54852,"South","low","other"
"37",57084,"North","high","other"
"38",54357,"South","top","other"
"39",64662,"South","middle","other"
"40",55454,"South","middle","other"
"41",59148,"South","high","other"
"42",57068,"South","middle","other"
"43",49633,"South","middle","other"
"44",48077,"South","low","other"
"45",54366,"South","high","other"
"46",55745,"South","middle","other"
"47",51511,"South","high","other"
"48",42072,"South","middle","other"
"49",1e+05,"South","first","simple"
"50",90218,"South","top","other"
"51",98012,"South","middle","simple"
"52",101200,"South","top","refined"
"53",95489,"South","first","refined"
"54",97383,"South","middle","simple"
"55",89566,"South","top","simple"
"56",91229,"South","middle","simple"
"57",92095,"South","top","refined"
"58",91579,"South","top","refined"
"59",89912,"South","middle","simple"
"60",90240,"South","middle","simple"
"61",77668,"South","middle","simple"
"62",77260,"South","middle","bare"
"63",71824,"South","middle","other"
"64",70334,"South","top","refined"
"65",68071,"South","top","simple"
"66",67257,"South","middle","simple"
"67",61253,"East/West","middle","simple"
"68",63717,"South","top","simple"
"69",63851,"South","top","refined"
"70",70379,"South","first","simple"
"71",57012,"East/West","middle","simple"
"72",66087,"South","middle","other"
"73",55403,"South","top","simple"
"74",55361,"South","top","refined"
"75",63886,"South","middle","simple"
"76",65107,"South","middle","simple"
"77",56692,"South","middle","simple"
"78",56228,"South","middle","refined"
"79",56064,"South","middle","simple"
"80",60870,"South","middle","simple"
"81",59002,"South","first","simple"
"82",49417,"East/West","middle","other"
"83",61476,"South","middle","simple"
"84",54622,"South","first","simple"
"85",57997,"South","middle","simple"
"86",51832,"South","middle","refined"
"87",63662,"South","middle","simple"
"88",57799,"South","middle","other"
"89",45187,"East/West","middle","refined"
"90",49175,"South","middle","simple"
"91",41464,"East/West","first","simple"
"92",48772,"South","top","simple"
"93",49443,"South","middle","simple"
"94",57421,"South","top","refined"
"95",50684,"South","top","simple"
"96",55750,"South","middle","simple"
"97",50000,"South","middle","simple"
"98",61476,"South","middle","simple"
"99",49018,"South","middle","simple"
"100",63790,"South","first","simple"
"101",64457,"South","middle","simple"
"102",57523,"South","top","other"
"103",60356,"South","middle","simple"
"104",61083,"South","middle","refined"
"105",64722,"South","middle","other"
"106",64221,"South","middle","refined"
"107",61644,"South","middle","other"
"108",64695,"South","top","other"
"109",54456,"South","top","other"
"110",61179,"South","top","other"
"111",61847,"North","middle","other"
"112",50875,"South","top","other"
"113",57906,"South","top","other"
"114",57844,"South","top","other"
"115",58408,"South","middle","other"
"116",55067,"South","top","other"
"117",60118,"South","middle","other"
"118",58408,"North","middle","other"
"119",61690,"South","middle","other"
"120",57592,"South","middle","other"
"121",62280,"South","middle","other"
"122",60662,"South","first","other"
"123",50443,"South","top","other"
"124",55929,"South","middle","other"
"125",53858,"South","first","other"
"126",51600,"South","middle","other"
"127",53098,"South","middle","other"
"128",43732,"East/West","middle","other"
