price_per_sqmt,facing_direction,floor_level,decoration
38544.0,South,low,simple
33667.0,South,first,other
91429.0,South,middle,simple
102752.0,South,high,simple
98847.0,South,high,other
88422.0,North,low,other
89034.0,South,middle,refined
88525.0,South,high,simple
95259.0,South,top,bare
92620.0,South,middle,simple
96145.0,South,middle,other
94333.0,South,high,other
86351.0,South,low,simple
90431.0,South,high,simple
97972.0,South,first,refined
87638.0,South,high,simple
89000.0,South,high,other
83871.0,South,high,refined
84628.0,South,high,refined
76143.0,South,high,refined
73985.0,South,middle,refined
70719.0,South,low,simple
67425.0,South,middle,simple
62500.0,North,top,other
58303.0,South,first,refined
55711.0,South,low,simple
50000.0,South,low,simple
53381.0,South,low,simple
49676.0,South,top,refined
57444.0,South,low,other
48864.0,South,low,simple
50417.0,North,low,refined
53291.0,South,middle,refined
52925.0,South,low,refined
49089.0,East/West,low,other
54852.0,South,low,other
57084.0,North,high,other
54357.0,South,top,other
64662.0,South,middle,other
55454.0,South,middle,other
59148.0,South,high,other
57068.0,South,middle,other
49633.0,South,middle,other
48077.0,South,low,other
54366.0,South,high,other
55745.0,South,middle,other
51511.0,South,high,other
42072.0,South,middle,other
100000.0,South,first,simple
90218.0,South,top,other
98012.0,South,middle,simple
101200.0,South,top,refined
95489.0,South,first,refined
97383.0,South,middle,simple
89566.0,South,top,simple
91229.0,South,middle,simple
92095.0,South,top,refined
91579.0,South,top,refined
89912.0,South,middle,simple
90240.0,South,middle,simple
77668.0,South,middle,simple
77260.0,South,middle,bare
71824.0,South,middle,other
70334.0,South,top,refined
68071.0,South,top,simple
67257.0,South,middle,simple
61253.0,East/West,middle,simple
63717.0,South,top,simple
63851.0,South,top,refined
70379.0,South,first,simple
57012.0,East/West,middle,simple
66087.0,South,middle,other
55403.0,South,top,simple
55361.0,South,top,refined
63886.0,South,middle,simple
65107.0,South,middle,simple
56692.0,South,middle,simple
56228.0,South,middle,refined
56064.0,South,middle,simple
60870.0,South,middle,simple
59002.0,South,first,simple
49417.0,East/West,middle,other
61476.0,South,middle,simple
54622.0,South,first,simple
57997.0,South,middle,simple
51832.0,South,middle,refined
63662.0,South,middle,simple
57799.0,South,middle,other
45187.0,East/West,middle,refined
49175.0,South,middle,simple
41464.0,East/West,first,simple
48772.0,South,top,simple
49443.0,South,middle,simple
57421.0,South,top,refined
50684.0,South,top,simple
55750.0,South,middle,simple
50000.0,South,middle,simple
61476.0,South,middle,simple
49018.0,South,middle,simple
63790.0,South,first,simple
64457.0,South,middle,simple
57523.0,South,top,other
60356.0,South,middle,simple
61083.0,South,middle,refined
64722.0,South,middle,other
64221.0,South,middle,refined
61644.0,South,middle,other
64695.0,South,top,other
54456.0,South,top,other
61179.0,South,top,other
61847.0,North,middle,other
50875.0,South,top,other
57906.0,South,top,other
57844.0,South,top,other
58408.0,South,middle,other
55067.0,South,top,other
60118.0,South,middle,other
58408.0,North,middle,other
61690.0,South,middle,other
57592.0,South,middle,other
62280.0,South,middle,other
60662.0,South,first,other
50443.0,South,top,other
55929.0,South,middle,other
53858.0,South,first,other
51600.0,South,middle,other
53098.0,South,middle,other
43732.0,East/West,middle,other
51189.0,South,top,other
55859.0,South,first,other
50396.0,South,middle,other
99166.0,South,middle,refined
82679.0,North,middle,simple
88453.0,North,low,other
91941.0,North,high,other
88978.0,South,high,refined
82536.0,South,low,simple
95006.0,South,top,refined
95459.0,South,low,refined
84595.0,North,middle,simple
89261.0,North,high,simple
89741.0,North,low,refined
99138.0,South,low,refined
95276.0,South,high,refined
89063.0,South,middle,other
91066.0,South,top,refined
79162.0,South,middle,refined
86729.0,South,low,other
82472.0,North,middle,other
78753.0,North,middle,simple
83197.0,South,middle,simple
80237.0,South,middle,other
83334.0,South,top,refined
78185.0,North,middle,other
75663.0,North,middle,simple
73530.0,East/West,middle,other
69925.0,South,low,simple
72396.0,South,low,refined
73438.0,South,low,refined
69833.0,South,middle,simple
63862.0,South,middle,simple
60086.0,South,middle,simple
66294.0,South,middle,refined
64015.0,South,low,simple
55568.0,East/West,low,simple
58208.0,South,high,simple
56369.0,South,first,refined
55883.0,East/West,middle,refined
51962.0,South,low,simple
47922.0,North,first,simple
47920.0,North,high,simple
59524.0,South,middle,simple
53036.0,South,low,simple
50656.0,South,first,refined
44413.0,North,first,simple
52621.0,South,low,simple
45380.0,East/West,low,simple
45670.0,South,middle,simple
46407.0,North,high,refined
50871.0,North,high,refined
48884.0,South,high,refined
49093.0,South,middle,simple
42905.0,East/West,top,refined
47822.0,South,first,simple
45071.0,South,high,other
56771.0,South,low,other
56875.0,South,high,other
50561.0,South,top,other
38866.0,East/West,low,other
50394.0,South,middle,other
47343.0,East/West,low,other
51062.0,South,first,other
50409.0,South,high,other
47291.0,East/West,high,other
46032.0,South,middle,other
45508.0,South,middle,other
38688.0,East/West,middle,other
39614.0,North,low,other
34060.0,South,first,other
36097.0,East/West,middle,other
40989.0,South,low,other
37008.0,South,low,other
32189.0,North,low,other
34451.0,South,top,other
35811.0,South,middle,other
34012.0,South,top,other
26038.0,South,middle,other
31504.0,South,middle,other
32917.0,South,high,other
30268.0,South,middle,other
72840.0,East/West,top,simple
66709.0,South,top,refined
44860.0,South,first,other
99071.0,South,high,refined
95605.0,South,low,simple
86755.0,South,middle,simple
93962.0,South,middle,refined
90839.0,South,high,refined
96229.0,South,low,refined
94413.0,South,middle,other
101735.0,South,middle,refined
88683.0,South,middle,other
102041.0,South,middle,simple
99403.0,South,middle,refined
78795.0,South,middle,refined
66546.0,South,middle,refined
74535.0,South,middle,refined
65270.0,South,middle,refined
62923.0,South,middle,refined
46559.0,South,low,refined
65451.0,South,high,refined
57221.0,South,middle,simple
58976.0,South,middle,refined
58702.0,South,middle,refined
53470.0,South,middle,refined
59752.0,South,high,refined
55015.0,South,middle,refined
54062.0,South,middle,refined
54866.0,South,middle,refined
56575.0,South,low,other
55542.0,South,middle,other
55518.0,South,first,other
56833.0,South,low,other
40266.0,South,high,other
49799.0,South,middle,other
49794.0,South,low,other
28898.0,South,middle,other
41128.0,South,high,other
37464.0,South,middle,other
41464.0,South,middle,other
27221.0,South,first,other
37115.0,South,middle,other
92135.0,South,high,other
89636.0,South,low,simple
89537.0,South,middle,refined
84385.0,South,middle,simple
87679.0,East/West,NA,NA
87063.0,North,NA,NA
87180.0,South,high,refined
86037.0,South,middle,simple
90070.0,South,high,simple
59692.0,South,middle,simple
55732.0,South,top,simple
47319.0,South,middle,simple
36954.0,South,high,other
35596.0,South,first,other
34874.0,South,top,other
35261.0,South,high,other
33991.0,South,low,other
94337.0,South,high,other
102833.0,South,first,refined
84816.0,East/West,top,other
85679.0,South,high,simple
97926.0,East/West,first,other
86351.0,South,NA,NA
85678.0,South,NA,NA
87934.0,North,middle,simple
96990.0,East/West,middle,other
77742.0,East/West,middle,simple
63493.0,East/West,low,other
55468.0,South,high,refined
49948.0,East/West,top,refined
51643.0,South,top,simple
53628.0,South,middle,other
44666.0,South,low,other
38902.0,South,middle,other
106535.0,South,NA,NA
100000.0,South,top,other
108451.0,South,NA,NA
61899.0,South,first,refined
55842.0,South,top,refined
55161.0,South,middle,other
51725.0,South,first,simple
45926.0,South,middle,simple
47687.0,South,middle,simple
58056.0,South,first,other
36667.0,South,top,other
32875.0,South,first,other
108603.0,South,first,simple
101692.0,South,low,refined
85758.0,South,high,refined
77928.0,South,top,simple
80283.0,South,first,simple
70114.0,South,first,refined
64540.0,South,middle,refined
65618.0,South,middle,simple
55128.0,South,first,simple
53066.0,South,high,other
55663.0,South,middle,simple
56519.0,South,low,other
55342.0,South,top,other
80775.0,South,middle,simple
74828.0,South,middle,simple
74690.0,South,low,simple
72825.0,South,first,simple
92670.0,South,top,refined
69616.0,North,first,simple
50622.0,South,low,refined
49809.0,South,top,simple
52029.0,South,low,other
44261.0,South,high,refined
34855.0,South,top,other
104770.0,South,top,simple
102087.0,South,middle,simple
107143.0,South,low,other
103821.0,South,high,simple
109485.0,South,high,refined
111975.0,South,top,refined
118123.0,South,middle,bare
111423.0,South,high,refined
94415.0,South,top,refined
89107.0,South,high,simple
88313.0,South,low,simple
77021.0,South,middle,refined
78253.0,South,high,refined
81444.0,South,high,simple
64057.0,South,middle,simple
53062.0,South,high,simple
47809.0,South,high,simple
59405.0,South,middle,other
48232.0,South,low,other
52823.0,South,middle,other
43815.0,South,high,other
42435.0,South,middle,other
